BARCODE,BRAND_CODE,CATEGORY,CATEGORY_CODE,NAME
511111008453,ATKINS,Grocery,GROCERY,Atkins
511111200802,IMPERIAL,Dairy,DAIRY,IMPERIAL
511111103936,MUG ROOT BEER,Beverages,BEVERAGES,Mug Root Beer
511111210917,TAYLOR,Wine,WINE,TAYLOR® NEW YORK
511111400486,SPITZ,Snacks,SNACKS,SPITZ
511111104537,KETTLE BRAND,Snacks,SNACKS,Kettle Brand
511111409212,YORK,Candy & Sweets,CANDY_AND_SWEETS,York
511111601166,PHILADELPHIA,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Philadelphia® Cream Cheese
511111008224,KAHLUA,Spirits,SPIRITS,Kahlua®
511111711179,BOB EVANS,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Bob Evans® Dinner Sides
511111907008,ARMOUR STAR,Canned Goods & Soups,CANNED_GOODS_AND_SOUPS,Armour Star®
511111302858,TOMBSTONE,Frozen,FROZEN,Tombstone
511111101734,DOLE,Beverages,,Dole Drinks
511111500896,CLEAR,Personal Care,PERSONAL_CARE,Clear
511111712824,COSTCO,Retailers,RETAILERS,Costco
511111015468,CRUSH,Beverages,BEVERAGES,Crush Soda
511111209348,SEVENTH GENERATION HAND SOAP,Household,HOUSEHOLD,Seventh Generation Hand Soap
511111611325,BOSTON MARKET,Restaurants,RESTAURANTS,Boston Market
511111807056,BIRDS EYE,Frozen,FROZEN,Birds Eye®
511111801757,CHESTER'S,Snacks,SNACKS,Chester's
511111402688,NATURE'S BAKERY,Snacks,SNACKS,Nature's Bakery
511111209850,MUSCLE MILK,Beverages,BEVERAGES,Muscle Milk
511111611998,ALBERTSONS,Retailers,RETAILERS,Albertsons
511111904663,KLEENEX,Household,HOUSEHOLD,Kleenex
511111110385,BLACKSTONE,Wine,WINE,BLACKSTONE®
511111804550,POP SECRET,Snacks,SNACKS,POP SECRET
511111503255,,,,Corn Flakes
511111302346,CRYSTAL LIGHT,Beverages,BEVERAGES,Crystal Light
511111911180,BLUE DIAMOND ALMONDS,Snacks,SNACKS,Blue Diamond Almonds
511111403791,DR PEPPER,Beverages,BEVERAGES,Dr Pepper
511111103653,GOLD MEDAL,Personal Care,PERSONAL_CARE,Gold Medal
511111806899,CLOROX,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,Clorox
511111811350,CHOMPS,Snacks,SNACKS,Chomps
511111507567,OROWEAT,Bread & Bakery,BREAD_AND_BAKERY,Oroweat
511111902690,KRAFT,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Kraft
511111804048,,,,Eggo
511111607748,HOLSUM,Bread & Bakery,BREAD_AND_BAKERY,Holsum
511111504139,PACE,Grocery,GROCERY,Pace
511111908760,SPLENDA STEVIA,Grocery,GROCERY,Splenda Stevia
511111100782,KNORR,Grocery,GROCERY,Knorr
511111607816,SARGENTO,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Sargento®
511111704706,SCOTT,Household,HOUSEHOLD,Scott® Brand
511111800644,ZIMA,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Zima
511111401155,CLAUSSEN,Deli,DELI,Claussen
511111107194,HEALTHY CHOICE,Frozen,FROZEN,Healthy Choice®
511111003038,SPRITE,Beverages,BEVERAGES,Sprite
511111107477,GERBER GOOD START,Baby,BABY,Gerber Good Start
511111201120,CORN NUTS,Snacks,SNACKS,Corn Nuts
511111606864,GLAD,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,Glad Trash Bags & Food Storage
511111105480,ONE,Beverages,BEVERAGES,O.N.E. Coconut Water
511111001485,TOSTITOS,Snacks,SNACKS,Tostitos
511111204206,SWANSON,Canned Goods & Soups,CANNED_GOODS_AND_SOUPS,Swanson
511111503972,PEPSI,Beverages,BEVERAGES,Pepsi
511111107521,SARA LEE,Bread & Bakery,BREAD_AND_BAKERY,Sara Lee Bread
511111401087,HP,Condiments & Sauces,CONDIMENTS_AND_SAUCES,HP Sauce
511111204923,CHESTERS,Snacks,SNACKS,CHESTER'S
511111307112,DUKES,Meat & Seafood,MEAT_AND_SEAFOOD,Duke's®
511111204084,BOLTHOUSE FARMS,Grocery,GROCERY,Bolthouse Farms
511111312666,BEECHNUT,Baby,BABY,Beech-Nut
511111201915,TACO BELL,Grocery,GROCERY,Taco Bell
511111315001,LIFESAVERS,Gum & Mints,GUM_AND_MINTS,LIFESAVERS®
511111209782,RATIO,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Ratio
511111301691,IZZE,Beverages,BEVERAGES,IZZE
511111214960,MARS,Candy & Chocolate,CANDY_AND_CHOCOLATE,MARS®
511111208259,MALIBU,Spirits,SPIRITS,Malibu® 
511111915355,SARA LEE POP UP,Bread & Bakery,BREAD_AND_BAKERY,SARA LEE
511111005377,MODERN FARMHOUSE,Magazines,MAGAZINES,Modern Farmhouse Magazine
511111802563,GATORADE,Beverages,BEVERAGES,GATORADE
511111509271,WHATCHAMACALLIT,Candy & Sweets,CANDY_AND_SWEETS,Whatchamacallit
511111707875,PILLSBURY,Baking,BAKING,Pillsbury
511111507284,MARIE CALLENDER'S,Frozen,FROZEN,Marie Callender's®
511111104308,V8 SPLASH,Beverages,BEVERAGES,V8 Splash
511111309031,SENSODYNE,,,SENSODYNE
511111303176,,,,Froot Loops
511111704867,SIR KENSINGTONS,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Sir Kensington's
511111808657,SEAGRAMS GIN,Spirits,SPIRITS,Seagrams Gin
511111206101,YOPLAIT GOGURT,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Yoplait Go-GURT
511111605980,GOODBELLY,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Goodbelly Probiotics
511111711940,OLIVE GARDEN,Restaurants,RESTAURANTS,Olive Garden
511111207375,REDDI WIP,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Reddi-wip®
511111207658,STROEHMANN,Bread & Bakery,BREAD_AND_BAKERY,Stroehmann Bread
511111009054,VEGGIES MADE GREAT,,,VEGGIES MADE GREAT
511111501770,CAP'N CRUNCH,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Cap'n Crunch
511111106876,BRITA,Household,HOUSEHOLD,Brita
511111304050,MONSTER,Beverages,BEVERAGES,Monster
511111107804,DOLLAR SHAVE CLUB,Personal Care,PERSONAL_CARE,Dollar Shave Club
511111005650,ALKA SELTZER,Health & Wellness,HEALTHY_AND_WELLNESS,Alka-Seltzer®
511111201632,NEAR EAST,Grocery,GROCERY,Near East
511111002369,COUNTRY TIME,Beverages,BEVERAGES,Country Time
511111301189,MAXWELL HOUSE,Beverages,BEVERAGES,Maxwell House
511111403630,CHEERIOS,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Cheerios
511111308874,GENERAL MILLS CEREAL,Breakfast & Cereal,BREAKFAST_AND_CEREAL,General Mills Cereal
511111301462,TROPICANA,Beverages,BEVERAGES,Tropicana
511111300861,DOVE,Personal Care,PERSONAL_CARE,Dove
511111302131,HEINZ,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Heinz
511111700531,FRITO-LAY,Snacks,SNACKS,FRITO-LAY
511111106647,ANNIES HOMEGROWN,Grocery,GROCERY,Annie's Homegrown Mac & Cheese
511111614401,RACHAEL RAY NUTRISH,Pet,PET,Rachael Ray Nutrish Cat Food & Treats
511111202516,,,,Corona
511111401711,FUNYUNS,Snacks,SNACKS,Funyuns
511111003809,,Meat & Seafood,MEAT_AND_SEAFOOD,Johnsonville
511111101222,OSCAR MAYER,Deli,DELI,Oscar Mayer
511111003960,MOUNTAIN DEW,Beverages,BEVERAGES,Mountain Dew
511111311348,LITEHOUSE,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Litehouse
511111406853,CLOROX 2,Household,HOUSEHOLD,Clorox 2
511111609940,TUTTOROSSO,Grocery,GROCERY,Tuttorosso
511111513292,PEETS COFFEE,Restaurants,RESTAURANTS,Peet's Coffee
511111204718,VIVA,Household,HOUSEHOLD,Viva
511111903857,COORS LIGHT,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Coors Light
511111104186,PACIFIC FOODS,Grocery,GROCERY,Pacific Foods
511111611042,HIGH LINER,Frozen,,High Liner
511111103141,,,,Krave
511111313823,PERDUE,Meat & Seafood,MEAT_AND_SEAFOOD,Perdue
511111909873,TOOTSIE ROLL,,,Tootsie Roll
511111108849,BETTY CROCKER,Grocery,GROCERY,Betty Crocker
511111007579,BALL PARK,Bread & Bakery,BREAD_AND_BAKERY,Ball Park
511111601722,FRITOS,Snacks,SNACKS,Fritos
511111700692,SUAVE,Personal Care,PERSONAL_CARE,Suave
511111215547,EL MONTEREY,Frozen,FROZEN,El Monterey
511111007418,SWISS MISS,Beverages,BEVERAGES,Swiss Miss®
511111606215,FRUIT BY THE FOOT,Snacks,SNACKS,Fruit by the Foot
511111509110,HERSHEYS,Candy & Sweets,CANDY_AND_SWEETS,Hershey's
511111102335,ORE-IDA,Frozen,FROZEN,Ore-Ida
511111903130,,,,Frosted Flakes
511111804482,LATE JULY,Snacks,SNACKS,Late July
511111914983,SNICKERS,Candy & Chocolate,CANDY_AND_CHOCOLATE,SNICKERS®
511111203995,MINUTE MAID,Beverages,BEVERAGES,Minute Maid
511111311416,CLIF KID,Snacks,SNACKS,Clif Kid
511111211952,CVS,Retailers,RETAILERS,CVS
511111708476,BARILLA,Grocery,GROCERY,Barilla
511111100577,Q-TIPS,Personal Care,PERSONAL_CARE,Q-TIPS
511111208976,KIND,Frozen,FROZEN,KIND
511111406419,LOREAL PARIS HAIR COLOR,Beauty,BEAUTY,L'Oréal Paris Hair Color
511111301745,CRACKER JACK,Snacks,SNACKS,Cracker Jack
511111410201,MANISCHEWITZ,Wine,WINE,MANISCHEWITZ®
511111009610,COLGATE TOOTHPASTE,Oral Care,ORAL_CARE,Colgate Toothpaste
511111611110,ARNOLD BROWNBERRY OROWEAT,Bread & Bakery,BREAD_AND_BAKERY,Arnold Brownberry Oroweat Bread
511111303503,,,,Bacardi
511111601395,MILLER HIGH LIFE,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Miller High Life
511111208464,BANZA,,,Banza
511111308201,JAMESON,Spirits,SPIRITS,Jameson®
511111309802,SENTRY,Retailers,RETAILERS,SENTRY
511111403401,CASCADIAN FARM,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Cascadian Farm
511111908487,BROWNIE BRITTLE,Snacks,SNACKS,Brownie Brittle®
511111501107,PLANTERS,Snacks,SNACKS,Planters
